Town ,Population,White,Black,Asian,American Indian,other,Hispanic
Hartford,124817,35%,40%,3%,2%,25%,42%
New Britain,73055,68%,15%,3%,1%,17%,35%
West Hartford,63066,85%,7%,8%,1%,2%,9%
Bristol,60473,90%,5%,2%,1%,5%,10%
Manchester,57897,77%,12%,8%,1%,6%,13%
East Hartford,51091,54%,25%,7%,1%,16%,26%
Enfield,44747,89%,7%,2%,0%,4%,7%
Southington,42731,96%,1%,2%,0%,1%,3%
Glastonbury,34171,88%,4%,7%,0%,2%,5%
Newington,30441,87%,6%,6%,1%,3%,7%
Windsor,28962,56%,38%,5%,1%,4%,8%
Wethersfield,26641,92%,3%,2%,1%,3%,9%
South Windsor,25577,85%,5%,8%,0%,3%,5%
Farmington,25186,90%,3%,8%,0%,0%,1%
Simsbury,23498,94%,2%,4%,1%,0%,2%
Bloomfield,20406,40%,59%,2%,3%,1%,4%
Berlin,19694,94%,2%,3%,0%,2%,3%
Rocky Hill,19533,79%,5%,14%,2%,3%,7%
Avon,17859,91%,2%,8%,1%,1%,4%
Plainville,17670,96%,3%,2%,0%,1%,5%
Suffield,15513,86%,10%,2%,2%,4%,6%
Windsor Locks,12466,89%,4%,6%,1%,1%,4%
Granby,11192,96%,3%,1%,0%,1%,4%
East Windsor,11024,83%,10%,7%,1%,1%,6%
Canton,10139,99%,1%,1%,1%,0%,3%
Burlington,9191,98%,1%,2%,0%,0%,3%
Marlborough,6335,99%,1%,1%,1%,1%,2%
East Granby,5055,90%,2%,7%,0%,1%,4%
